respondent,years_coding,years_coding_prof
52092,30 or more years,21-23 years
52102,15-17 years,15-17 years
52104,12-14 years,12-14 years
52111,18-20 years,9-11 years
52146,12-14 years,6-8 years
52156,6-8 years,0-2 years
52160,6-8 years,6-8 years
52168,9-11 years,6-8 years
52171,0-2 years,0-2 years
52173,3-5 years,3-5 years
52187,9-11 years,6-8 years
52203,0-2 years,0-2 years
52210,30 or more years,30 or more years
52214,9-11 years,6-8 years
52230,0-2 years,0-2 years
52245,30 or more years,9-11 years
52250,21-23 years,6-8 years
52251,6-8 years,3-5 years
52272,0-2 years,6-8 years
52274,6-8 years,3-5 years
52276,30 or more years,21-23 years
52280,15-17 years,6-8 years
52294,6-8 years,3-5 years
52307,12-14 years,12-14 years
52315,6-8 years,3-5 years
52347,6-8 years,0-2 years
52395,6-8 years,0-2 years
52396,9-11 years,6-8 years
52397,0-2 years,0-2 years
52412,15-17 years,6-8 years
52413,6-8 years,6-8 years
52420,3-5 years,3-5 years
52426,9-11 years,3-5 years
52432,3-5 years,3-5 years
52433,15-17 years,9-11 years
52436,30 or more years,30 or more years
52448,0-2 years,0-2 years
52452,9-11 years,0-2 years
52461,6-8 years,3-5 years
52475,12-14 years,3-5 years
52486,18-20 years,15-17 years
52494,3-5 years,0-2 years
52498,12-14 years,9-11 years
52502,24-26 years,18-20 years
52505,9-11 years,6-8 years
52506,27-29 years,27-29 years
52512,12-14 years,9-11 years
52517,6-8 years,0-2 years
52522,12-14 years,6-8 years
52528,3-5 years,3-5 years
52529,21-23 years,18-20 years
52536,9-11 years,9-11 years
52569,6-8 years,3-5 years
52578,6-8 years,6-8 years
52584,30 or more years,30 or more years
52591,18-20 years,21-23 years
52601,24-26 years,18-20 years
52624,6-8 years,3-5 years
52628,0-2 years,0-2 years
52635,6-8 years,0-2 years
52669,9-11 years,3-5 years
52687,12-14 years,9-11 years
52707,15-17 years,6-8 years
52711,3-5 years,3-5 years
52773,6-8 years,3-5 years
52775,18-20 years,15-17 years
52776,30 or more years,9-11 years
52796,6-8 years,3-5 years
52818,9-11 years,0-2 years
52819,3-5 years,0-2 years
52826,18-20 years,15-17 years
52835,6-8 years,6-8 years
52837,24-26 years,18-20 years
52839,27-29 years,27-29 years
52864,12-14 years,9-11 years
52877,9-11 years,3-5 years
52889,6-8 years,3-5 years
52919,15-17 years,15-17 years
52936,6-8 years,6-8 years
52943,12-14 years,6-8 years
52944,15-17 years,12-14 years
52947,30 or more years,21-23 years
52950,0-2 years,0-2 years
52986,21-23 years,9-11 years
53000,6-8 years,0-2 years
53022,15-17 years,12-14 years
53025,9-11 years,3-5 years
53029,0-2 years,0-2 years
53052,6-8 years,0-2 years
53056,3-5 years,0-2 years
53084,3-5 years,3-5 years
53092,3-5 years,0-2 years
53101,3-5 years,0-2 years
53118,6-8 years,3-5 years
53135,3-5 years,3-5 years
53155,24-26 years,21-23 years
53158,0-2 years,0-2 years
53166,6-8 years,3-5 years
53171,12-14 years,9-11 years
53175,3-5 years,3-5 years
53185,24-26 years,18-20 years
53253,6-8 years,6-8 years
53257,15-17 years,9-11 years
53261,18-20 years,12-14 years
53262,6-8 years,0-2 years
53268,30 or more years,27-29 years
53288,15-17 years,15-17 years
53289,15-17 years,15-17 years
53359,18-20 years,18-20 years
53365,3-5 years,0-2 years
53395,24-26 years,18-20 years
53413,18-20 years,18-20 years
53421,15-17 years,15-17 years
53427,6-8 years,3-5 years
53447,15-17 years,15-17 years
53464,24-26 years,21-23 years
53468,0-2 years,0-2 years
53471,18-20 years,9-11 years
53491,9-11 years,3-5 years
53501,3-5 years,3-5 years
53525,30 or more years,18-20 years
53528,3-5 years,0-2 years
53530,15-17 years,12-14 years
53534,3-5 years,0-2 years
53546,12-14 years,9-11 years
53571,6-8 years,0-2 years
53576,6-8 years,3-5 years
53580,3-5 years,0-2 years
53581,6-8 years,6-8 years
53585,9-11 years,6-8 years
53596,12-14 years,6-8 years
53613,9-11 years,6-8 years
53626,9-11 years,9-11 years
53684,15-17 years,9-11 years
53701,9-11 years,6-8 years
53718,0-2 years,0-2 years
53735,0-2 years,0-2 years
53766,12-14 years,9-11 years
53786,3-5 years,3-5 years
53789,18-20 years,18-20 years
53817,21-23 years,15-17 years
53821,30 or more years,21-23 years
53838,6-8 years,0-2 years
53839,3-5 years,3-5 years
53860,6-8 years,0-2 years
53868,9-11 years,6-8 years
53871,30 or more years,30 or more years
53911,15-17 years,12-14 years
53922,18-20 years,18-20 years
53940,3-5 years,0-2 years
53942,15-17 years,9-11 years
53963,6-8 years,3-5 years
53976,0-2 years,0-2 years
53989,18-20 years,6-8 years
54007,15-17 years,15-17 years
54014,3-5 years,0-2 years
54025,3-5 years,0-2 years
54037,6-8 years,6-8 years
54061,15-17 years,12-14 years
54112,30 or more years,24-26 years
54113,3-5 years,3-5 years
54115,3-5 years,3-5 years
54116,3-5 years,3-5 years
54121,3-5 years,0-2 years
54131,18-20 years,9-11 years
54144,9-11 years,6-8 years
54155,27-29 years,21-23 years
54158,3-5 years,3-5 years
54178,18-20 years,9-11 years
54180,3-5 years,3-5 years
54192,27-29 years,18-20 years
54194,15-17 years,9-11 years
54200,15-17 years,12-14 years
54222,30 or more years,15-17 years
54226,9-11 years,6-8 years
54237,3-5 years,3-5 years
54239,15-17 years,9-11 years
54269,6-8 years,0-2 years
54271,3-5 years,0-2 years
54287,12-14 years,12-14 years
54328,6-8 years,6-8 years
54335,15-17 years,9-11 years
54347,3-5 years,3-5 years
54356,9-11 years,9-11 years
54365,12-14 years,9-11 years
54366,3-5 years,0-2 years
54367,30 or more years,21-23 years
54389,6-8 years,0-2 years
54404,24-26 years,27-29 years
54407,3-5 years,0-2 years
54412,30 or more years,30 or more years
54422,21-23 years,15-17 years
54438,24-26 years,24-26 years
54463,15-17 years,9-11 years
54480,3-5 years,3-5 years
54481,15-17 years,15-17 years
54487,0-2 years,0-2 years
54514,12-14 years,12-14 years
54557,24-26 years,24-26 years
54567,12-14 years,12-14 years
54571,3-5 years,3-5 years
54608,12-14 years,3-5 years
54615,9-11 years,3-5 years
54629,3-5 years,3-5 years
54641,18-20 years,18-20 years
54645,9-11 years,9-11 years
54656,30 or more years,15-17 years
54705,6-8 years,3-5 years
54710,18-20 years,12-14 years
54711,30 or more years,30 or more years
54723,9-11 years,6-8 years
54734,6-8 years,3-5 years
54823,30 or more years,24-26 years
54828,15-17 years,9-11 years
54829,3-5 years,0-2 years
54839,9-11 years,3-5 years
54858,9-11 years,3-5 years
54872,18-20 years,9-11 years
54883,27-29 years,15-17 years
54892,3-5 years,0-2 years
54893,30 or more years,27-29 years
54902,30 or more years,30 or more years
54907,15-17 years,9-11 years
54931,6-8 years,0-2 years
54932,21-23 years,9-11 years
54962,3-5 years,0-2 years
54963,3-5 years,0-2 years
54969,3-5 years,0-2 years
54981,15-17 years,12-14 years
54995,3-5 years,3-5 years
54998,3-5 years,3-5 years
55052,0-2 years,0-2 years
55070,3-5 years,0-2 years
55075,3-5 years,0-2 years
55093,6-8 years,6-8 years
55096,3-5 years,0-2 years
55113,12-14 years,6-8 years
55133,15-17 years,9-11 years
55142,3-5 years,0-2 years
55157,3-5 years,0-2 years
55163,18-20 years,12-14 years
55164,0-2 years,0-2 years
55188,9-11 years,6-8 years
55189,0-2 years,0-2 years
55192,3-5 years,0-2 years
55211,6-8 years,6-8 years
55213,15-17 years,9-11 years
55241,6-8 years,3-5 years
55242,6-8 years,3-5 years
55250,21-23 years,12-14 years
55252,24-26 years,18-20 years
55255,3-5 years,3-5 years
55258,15-17 years,15-17 years
55266,9-11 years,6-8 years
55279,3-5 years,3-5 years
55290,3-5 years,0-2 years
55298,0-2 years,0-2 years
55340,0-2 years,0-2 years
55347,6-8 years,9-11 years
55354,30 or more years,21-23 years
55356,18-20 years,12-14 years
55358,6-8 years,3-5 years
55370,30 or more years,15-17 years
55381,27-29 years,18-20 years
55387,6-8 years,0-2 years
55409,3-5 years,3-5 years
55412,9-11 years,6-8 years
55422,30 or more years,18-20 years
55432,18-20 years,12-14 years
55437,12-14 years,3-5 years
55438,3-5 years,0-2 years
55456,21-23 years,18-20 years
55462,24-26 years,21-23 years
55471,0-2 years,0-2 years
55474,9-11 years,6-8 years
55479,12-14 years,3-5 years
55481,3-5 years,0-2 years
55494,3-5 years,3-5 years
55499,3-5 years,0-2 years
55503,3-5 years,3-5 years
55517,3-5 years,0-2 years
55521,18-20 years,12-14 years
55523,0-2 years,0-2 years
55528,6-8 years,3-5 years
55531,18-20 years,15-17 years
55538,15-17 years,12-14 years
55546,6-8 years,0-2 years
55550,30 or more years,30 or more years
55559,12-14 years,9-11 years
55569,6-8 years,0-2 years
55573,3-5 years,0-2 years
55583,9-11 years,3-5 years
55604,18-20 years,9-11 years
55610,24-26 years,18-20 years
55635,6-8 years,6-8 years
55638,3-5 years,0-2 years
55643,9-11 years,3-5 years
55666,9-11 years,3-5 years
55682,6-8 years,6-8 years
55703,18-20 years,12-14 years
55707,3-5 years,3-5 years
55746,15-17 years,6-8 years
55763,30 or more years,27-29 years
55775,3-5 years,0-2 years
55776,21-23 years,21-23 years
55781,9-11 years,0-2 years
55782,18-20 years,12-14 years
55793,3-5 years,0-2 years
55813,6-8 years,0-2 years
55816,30 or more years,24-26 years
55820,3-5 years,3-5 years
55831,18-20 years,12-14 years
55832,9-11 years,6-8 years
55834,3-5 years,3-5 years
55838,3-5 years,0-2 years
55856,18-20 years,12-14 years
55867,30 or more years,27-29 years
55868,6-8 years,6-8 years
55870,12-14 years,12-14 years
55876,6-8 years,3-5 years
55877,0-2 years,0-2 years
55879,18-20 years,9-11 years
55880,30 or more years,18-20 years
55881,3-5 years,3-5 years
55884,6-8 years,0-2 years
55885,15-17 years,15-17 years
55904,30 or more years,24-26 years
55905,18-20 years,15-17 years
55907,15-17 years,12-14 years
55908,30 or more years,3-5 years
55914,9-11 years,3-5 years
55930,3-5 years,0-2 years
55967,6-8 years,0-2 years
55977,12-14 years,12-14 years
55978,3-5 years,0-2 years
55991,9-11 years,6-8 years
56005,12-14 years,6-8 years
56034,12-14 years,12-14 years
56035,3-5 years,3-5 years
56046,30 or more years,30 or more years
56067,3-5 years,3-5 years
56081,6-8 years,3-5 years
56082,18-20 years,18-20 years
56086,9-11 years,6-8 years
56090,15-17 years,12-14 years
56092,12-14 years,9-11 years
56096,6-8 years,3-5 years
56112,0-2 years,0-2 years
56117,18-20 years,15-17 years
56135,18-20 years,15-17 years
56140,6-8 years,3-5 years
56143,6-8 years,0-2 years
56149,3-5 years,3-5 years
56151,12-14 years,9-11 years
56153,3-5 years,3-5 years
56156,30 or more years,30 or more years
56159,15-17 years,15-17 years
56161,0-2 years,0-2 years
56165,30 or more years,30 or more years
56178,30 or more years,27-29 years
56190,9-11 years,9-11 years
56211,0-2 years,0-2 years
56216,9-11 years,0-2 years
56221,24-26 years,9-11 years
56230,6-8 years,3-5 years
56232,30 or more years,30 or more years
56242,18-20 years,18-20 years
56295,3-5 years,0-2 years
56310,0-2 years,0-2 years
56335,6-8 years,3-5 years
56337,3-5 years,0-2 years
56340,0-2 years,0-2 years
56359,3-5 years,3-5 years
56364,12-14 years,9-11 years
56371,3-5 years,0-2 years
56376,21-23 years,9-11 years
56392,0-2 years,0-2 years
56415,0-2 years,0-2 years
56422,6-8 years,3-5 years
56427,12-14 years,9-11 years
56440,6-8 years,3-5 years
56448,12-14 years,3-5 years
56467,9-11 years,3-5 years
56475,3-5 years,0-2 years
56486,6-8 years,6-8 years
56493,18-20 years,9-11 years
56512,3-5 years,3-5 years
56520,12-14 years,12-14 years
56522,24-26 years,15-17 years
56530,9-11 years,6-8 years
56545,15-17 years,15-17 years
56554,6-8 years,3-5 years
56562,30 or more years,30 or more years
56577,6-8 years,0-2 years
56607,18-20 years,9-11 years
56621,3-5 years,3-5 years
56623,12-14 years,9-11 years
56624,9-11 years,9-11 years
56632,3-5 years,0-2 years
56650,0-2 years,0-2 years
56664,15-17 years,9-11 years
56669,6-8 years,6-8 years
56671,30 or more years,21-23 years
56679,24-26 years,24-26 years
56680,3-5 years,3-5 years
56686,3-5 years,3-5 years
56690,0-2 years,0-2 years
56703,18-20 years,18-20 years
56724,3-5 years,6-8 years
56727,9-11 years,9-11 years
56742,12-14 years,9-11 years
56747,6-8 years,3-5 years
56751,18-20 years,9-11 years
56765,21-23 years,18-20 years
56766,15-17 years,9-11 years
56774,3-5 years,3-5 years
56784,9-11 years,3-5 years
56786,3-5 years,0-2 years
56795,6-8 years,3-5 years
56801,3-5 years,0-2 years
56823,9-11 years,9-11 years
56827,12-14 years,0-2 years
56836,21-23 years,21-23 years
56841,9-11 years,9-11 years
56862,15-17 years,6-8 years
56870,12-14 years,9-11 years
56903,6-8 years,0-2 years
56923,18-20 years,18-20 years
56940,3-5 years,3-5 years
56953,12-14 years,6-8 years
56975,21-23 years,18-20 years
56980,18-20 years,12-14 years
56988,6-8 years,6-8 years
56992,3-5 years,0-2 years
56997,3-5 years,0-2 years
57005,6-8 years,0-2 years
57030,18-20 years,12-14 years
57035,18-20 years,6-8 years
57044,9-11 years,0-2 years
57049,0-2 years,0-2 years
57060,21-23 years,21-23 years
57106,18-20 years,12-14 years
57109,6-8 years,0-2 years
57111,12-14 years,9-11 years
57125,6-8 years,6-8 years
57133,3-5 years,0-2 years
57166,0-2 years,0-2 years
57167,3-5 years,3-5 years
57169,3-5 years,0-2 years
57170,12-14 years,6-8 years
57171,30 or more years,27-29 years
57191,3-5 years,0-2 years
57196,6-8 years,0-2 years
57207,0-2 years,0-2 years
57228,0-2 years,3-5 years
57251,9-11 years,6-8 years
57254,0-2 years,0-2 years
57278,21-23 years,21-23 years
57288,30 or more years,30 or more years
57304,18-20 years,6-8 years
57309,18-20 years,18-20 years
57316,6-8 years,0-2 years
57323,15-17 years,12-14 years
57353,6-8 years,6-8 years
57361,6-8 years,0-2 years
57363,12-14 years,12-14 years
57385,9-11 years,9-11 years
57387,0-2 years,0-2 years
57407,9-11 years,6-8 years
57433,18-20 years,18-20 years
57436,6-8 years,3-5 years
57441,30 or more years,21-23 years
57456,12-14 years,6-8 years
57458,27-29 years,15-17 years
57470,3-5 years,0-2 years
57477,27-29 years,3-5 years
57499,6-8 years,3-5 years
57503,15-17 years,15-17 years
57505,NA,6-8 years
57516,6-8 years,3-5 years
57536,18-20 years,9-11 years
57567,3-5 years,0-2 years
57571,18-20 years,12-14 years
57604,6-8 years,0-2 years
57611,12-14 years,6-8 years
57626,0-2 years,0-2 years
57671,6-8 years,3-5 years
57681,9-11 years,6-8 years
57698,15-17 years,12-14 years
57717,30 or more years,24-26 years
57721,6-8 years,6-8 years
57728,30 or more years,24-26 years
57743,9-11 years,6-8 years
57766,3-5 years,0-2 years
57790,6-8 years,6-8 years
57800,3-5 years,3-5 years
57809,21-23 years,21-23 years
57816,15-17 years,9-11 years
57840,9-11 years,3-5 years
57841,9-11 years,0-2 years
57848,9-11 years,6-8 years
57851,3-5 years,0-2 years
57858,3-5 years,3-5 years
57860,18-20 years,18-20 years
57862,6-8 years,6-8 years
57878,15-17 years,15-17 years
57910,9-11 years,3-5 years
57911,0-2 years,0-2 years
57914,12-14 years,9-11 years
57919,3-5 years,3-5 years
57931,15-17 years,9-11 years
57940,3-5 years,3-5 years
57945,3-5 years,0-2 years
57952,0-2 years,0-2 years
57976,3-5 years,0-2 years
57980,6-8 years,3-5 years
57998,18-20 years,9-11 years
58000,6-8 years,0-2 years
58023,9-11 years,6-8 years
58035,6-8 years,3-5 years
58066,0-2 years,0-2 years
58068,30 or more years,18-20 years
58069,0-2 years,0-2 years
58087,9-11 years,9-11 years
58100,6-8 years,0-2 years
58108,21-23 years,21-23 years
58118,18-20 years,9-11 years
58126,12-14 years,6-8 years
58137,3-5 years,3-5 years
58141,0-2 years,0-2 years
58143,9-11 years,6-8 years
58145,3-5 years,3-5 years
58166,18-20 years,18-20 years
58168,15-17 years,9-11 years
58201,12-14 years,12-14 years
58205,15-17 years,9-11 years
58209,3-5 years,0-2 years
58223,0-2 years,0-2 years
58232,9-11 years,9-11 years
58241,9-11 years,9-11 years
58253,6-8 years,6-8 years
58271,6-8 years,6-8 years
58273,0-2 years,0-2 years
58286,6-8 years,6-8 years
58308,9-11 years,3-5 years
58316,18-20 years,15-17 years
58346,9-11 years,0-2 years
58358,0-2 years,0-2 years
58379,9-11 years,9-11 years
58395,3-5 years,0-2 years
58400,3-5 years,3-5 years
58404,9-11 years,6-8 years
58406,3-5 years,0-2 years
58412,9-11 years,6-8 years
58413,6-8 years,3-5 years
58414,21-23 years,15-17 years
58433,15-17 years,12-14 years
58450,6-8 years,3-5 years
58473,12-14 years,9-11 years
58479,30 or more years,30 or more years
58509,12-14 years,6-8 years
58527,3-5 years,0-2 years
58535,6-8 years,3-5 years
58541,0-2 years,0-2 years
58546,15-17 years,15-17 years
58556,27-29 years,18-20 years
58562,3-5 years,0-2 years
58590,3-5 years,3-5 years
58593,30 or more years,27-29 years
58603,3-5 years,3-5 years
58604,0-2 years,0-2 years
58624,6-8 years,6-8 years
58636,9-11 years,6-8 years
58647,3-5 years,0-2 years
58686,0-2 years,0-2 years
58694,6-8 years,3-5 years
58705,18-20 years,18-20 years
58752,12-14 years,6-8 years
58757,24-26 years,18-20 years
58758,21-23 years,15-17 years
58761,6-8 years,6-8 years
58762,18-20 years,9-11 years
58764,6-8 years,0-2 years
58767,30 or more years,21-23 years
58777,30 or more years,27-29 years
58787,6-8 years,6-8 years
58791,18-20 years,15-17 years
58797,0-2 years,0-2 years
58812,3-5 years,3-5 years
58849,9-11 years,3-5 years
58850,9-11 years,6-8 years
58857,6-8 years,3-5 years
58868,3-5 years,3-5 years
58874,15-17 years,15-17 years
58895,24-26 years,24-26 years
58898,3-5 years,3-5 years
58899,15-17 years,12-14 years
58902,12-14 years,12-14 years
58937,12-14 years,3-5 years
58944,12-14 years,9-11 years
58948,6-8 years,6-8 years
58955,21-23 years,15-17 years
58966,6-8 years,6-8 years
58967,6-8 years,3-5 years
58991,27-29 years,18-20 years
59007,15-17 years,15-17 years
59023,30 or more years,30 or more years
59037,3-5 years,3-5 years
59047,9-11 years,3-5 years
59052,18-20 years,12-14 years
59054,18-20 years,15-17 years
59068,3-5 years,0-2 years
59081,3-5 years,3-5 years
59098,30 or more years,30 or more years
59107,6-8 years,3-5 years
59111,3-5 years,3-5 years
59136,0-2 years,0-2 years
59144,6-8 years,0-2 years
59151,18-20 years,9-11 years
59157,9-11 years,3-5 years
59160,6-8 years,0-2 years
59164,0-2 years,0-2 years
59167,30 or more years,24-26 years
59172,6-8 years,3-5 years
59181,12-14 years,9-11 years
59198,12-14 years,3-5 years
59206,30 or more years,30 or more years
59210,15-17 years,15-17 years
59211,0-2 years,0-2 years
59216,6-8 years,0-2 years
59221,12-14 years,15-17 years
59233,3-5 years,3-5 years
59250,3-5 years,3-5 years
59267,12-14 years,12-14 years
59271,3-5 years,3-5 years
59287,30 or more years,30 or more years
59288,3-5 years,0-2 years
59303,30 or more years,18-20 years
59324,9-11 years,9-11 years
59336,6-8 years,3-5 years
59355,15-17 years,9-11 years
59370,21-23 years,18-20 years
59379,3-5 years,0-2 years
59392,3-5 years,3-5 years
59399,6-8 years,6-8 years
59409,9-11 years,0-2 years
59421,6-8 years,0-2 years
59467,6-8 years,3-5 years
59476,24-26 years,24-26 years
59479,9-11 years,6-8 years
59485,9-11 years,9-11 years
59492,9-11 years,3-5 years
59525,12-14 years,6-8 years
59534,30 or more years,18-20 years
59549,6-8 years,0-2 years
59553,15-17 years,6-8 years
59554,6-8 years,0-2 years
59556,3-5 years,0-2 years
59631,6-8 years,3-5 years
59648,18-20 years,9-11 years
59670,0-2 years,0-2 years
59677,3-5 years,0-2 years
59685,18-20 years,12-14 years
59702,6-8 years,3-5 years
59712,21-23 years,18-20 years
59722,27-29 years,18-20 years
59748,6-8 years,6-8 years
59752,3-5 years,0-2 years
59754,6-8 years,3-5 years
59776,12-14 years,3-5 years
59782,15-17 years,9-11 years
59784,24-26 years,18-20 years
59790,6-8 years,3-5 years
59800,6-8 years,3-5 years
59802,15-17 years,15-17 years
59816,30 or more years,30 or more years
59820,18-20 years,15-17 years
59831,15-17 years,12-14 years
59836,3-5 years,3-5 years
59855,6-8 years,3-5 years
59864,6-8 years,6-8 years
59875,9-11 years,6-8 years
59880,3-5 years,3-5 years
59882,3-5 years,0-2 years
59897,9-11 years,6-8 years
59914,18-20 years,9-11 years
59955,18-20 years,6-8 years
59958,21-23 years,15-17 years
59966,3-5 years,3-5 years
59984,3-5 years,0-2 years
59998,9-11 years,6-8 years
60001,6-8 years,6-8 years
60002,3-5 years,3-5 years
60038,6-8 years,3-5 years
60048,3-5 years,0-2 years
60063,12-14 years,3-5 years
60065,12-14 years,9-11 years
60084,9-11 years,9-11 years
60098,0-2 years,0-2 years
60100,12-14 years,12-14 years
60104,3-5 years,0-2 years
60107,6-8 years,0-2 years
60123,30 or more years,30 or more years
60148,6-8 years,3-5 years
60150,6-8 years,3-5 years
60153,15-17 years,6-8 years
60161,15-17 years,9-11 years
60172,6-8 years,3-5 years
60190,6-8 years,3-5 years
60201,6-8 years,6-8 years
60218,27-29 years,15-17 years
60237,15-17 years,18-20 years
60243,6-8 years,3-5 years
60274,6-8 years,6-8 years
60311,12-14 years,12-14 years
60323,12-14 years,6-8 years
60328,21-23 years,24-26 years
60352,9-11 years,9-11 years
60360,15-17 years,15-17 years
60371,0-2 years,0-2 years
60380,12-14 years,12-14 years
60387,12-14 years,3-5 years
60390,18-20 years,18-20 years
60391,6-8 years,6-8 years
60398,6-8 years,6-8 years
60400,6-8 years,0-2 years
60404,0-2 years,0-2 years
60410,9-11 years,3-5 years
60424,0-2 years,0-2 years
60430,12-14 years,3-5 years
60457,9-11 years,6-8 years
60479,9-11 years,6-8 years
60501,12-14 years,3-5 years
60509,6-8 years,3-5 years
60518,3-5 years,0-2 years
60537,6-8 years,6-8 years
60548,3-5 years,3-5 years
60553,6-8 years,6-8 years
60556,9-11 years,6-8 years
60563,9-11 years,6-8 years
60566,3-5 years,3-5 years
60581,30 or more years,21-23 years
60589,6-8 years,6-8 years
60593,6-8 years,0-2 years
60598,6-8 years,0-2 years
60603,3-5 years,0-2 years
60624,6-8 years,0-2 years
60638,3-5 years,0-2 years
60647,6-8 years,0-2 years
60653,0-2 years,0-2 years
60655,15-17 years,9-11 years
60670,9-11 years,9-11 years
60676,3-5 years,0-2 years
60700,27-29 years,18-20 years
60716,30 or more years,30 or more years
60718,3-5 years,3-5 years
60726,18-20 years,9-11 years
60729,9-11 years,9-11 years
60743,3-5 years,0-2 years
60762,3-5 years,0-2 years
60765,27-29 years,6-8 years
60770,6-8 years,0-2 years
60795,3-5 years,3-5 years
60818,27-29 years,15-17 years
60839,12-14 years,3-5 years
60840,30 or more years,21-23 years
60846,3-5 years,3-5 years
60847,21-23 years,15-17 years
60857,6-8 years,3-5 years
60874,9-11 years,9-11 years
60897,15-17 years,15-17 years
60919,9-11 years,3-5 years
60926,6-8 years,6-8 years
60927,18-20 years,18-20 years
60929,27-29 years,18-20 years
60936,3-5 years,0-2 years
60977,6-8 years,6-8 years
60981,6-8 years,3-5 years
61009,21-23 years,18-20 years
61010,15-17 years,12-14 years
61027,0-2 years,0-2 years
61069,18-20 years,12-14 years
61092,12-14 years,9-11 years
61108,9-11 years,3-5 years
61115,30 or more years,30 or more years
61140,6-8 years,3-5 years
61143,6-8 years,3-5 years
61152,18-20 years,18-20 years
61156,9-11 years,6-8 years
61174,9-11 years,6-8 years
61199,3-5 years,0-2 years
61210,NA,30 or more years
61220,30 or more years,30 or more years
61222,30 or more years,27-29 years
61249,6-8 years,3-5 years
61254,12-14 years,3-5 years
61255,12-14 years,12-14 years
61263,12-14 years,12-14 years
61293,6-8 years,3-5 years
61302,15-17 years,9-11 years
61309,3-5 years,3-5 years
61345,12-14 years,6-8 years
61355,3-5 years,0-2 years
61360,12-14 years,9-11 years
61373,21-23 years,18-20 years
61392,15-17 years,15-17 years
61400,9-11 years,3-5 years
61407,6-8 years,3-5 years
61424,6-8 years,0-2 years
61432,6-8 years,0-2 years
61438,9-11 years,3-5 years
61452,9-11 years,9-11 years
61457,9-11 years,9-11 years
61463,15-17 years,15-17 years
61473,18-20 years,18-20 years
61482,6-8 years,3-5 years
61484,27-29 years,24-26 years
61485,9-11 years,3-5 years
61488,3-5 years,0-2 years
61489,30 or more years,30 or more years
61493,18-20 years,15-17 years
61498,30 or more years,30 or more years
61499,3-5 years,0-2 years
61502,18-20 years,18-20 years
61517,21-23 years,21-23 years
61523,18-20 years,9-11 years
61539,3-5 years,0-2 years
61575,18-20 years,15-17 years
61588,30 or more years,30 or more years
61598,24-26 years,18-20 years
61606,12-14 years,6-8 years
61610,12-14 years,6-8 years
61623,3-5 years,0-2 years
61624,30 or more years,30 or more years
61626,3-5 years,3-5 years
61656,6-8 years,3-5 years
61664,21-23 years,21-23 years
61696,6-8 years,0-2 years
61715,6-8 years,6-8 years
61716,12-14 years,12-14 years
61724,12-14 years,12-14 years
61730,6-8 years,0-2 years
61741,12-14 years,12-14 years
61754,15-17 years,12-14 years
61759,21-23 years,9-11 years
61777,9-11 years,9-11 years
61780,3-5 years,0-2 years
61783,6-8 years,0-2 years
61789,12-14 years,12-14 years
61794,15-17 years,15-17 years
61885,12-14 years,12-14 years
61895,12-14 years,6-8 years
61900,6-8 years,0-2 years
61905,12-14 years,12-14 years
61916,15-17 years,12-14 years
61935,0-2 years,0-2 years
61973,30 or more years,30 or more years
61999,3-5 years,3-5 years
62001,3-5 years,0-2 years
62015,30 or more years,30 or more years
62017,18-20 years,12-14 years
62020,6-8 years,3-5 years
62026,30 or more years,30 or more years
62030,6-8 years,3-5 years
62037,30 or more years,21-23 years
62040,9-11 years,6-8 years
62041,6-8 years,6-8 years
62046,21-23 years,18-20 years
62061,12-14 years,9-11 years
62064,15-17 years,9-11 years
62076,0-2 years,0-2 years
62078,6-8 years,3-5 years
62113,9-11 years,6-8 years
62126,3-5 years,3-5 years
62128,12-14 years,0-2 years
62130,24-26 years,18-20 years
62143,6-8 years,6-8 years
62153,18-20 years,18-20 years
62176,21-23 years,9-11 years
62220,12-14 years,9-11 years
62290,12-14 years,6-8 years
62309,6-8 years,3-5 years
62317,6-8 years,3-5 years
62319,6-8 years,3-5 years
62335,21-23 years,6-8 years
62339,24-26 years,24-26 years
62349,0-2 years,0-2 years
62351,24-26 years,24-26 years
62358,12-14 years,6-8 years
62369,0-2 years,0-2 years
62379,18-20 years,12-14 years
62381,9-11 years,3-5 years
62385,6-8 years,6-8 years
62394,6-8 years,3-5 years
62403,6-8 years,3-5 years
62406,9-11 years,9-11 years
62408,3-5 years,0-2 years
62411,6-8 years,0-2 years
62444,6-8 years,0-2 years
62451,6-8 years,6-8 years
62466,18-20 years,9-11 years
62524,15-17 years,9-11 years
62531,3-5 years,0-2 years
62565,18-20 years,18-20 years
62567,0-2 years,0-2 years
62576,3-5 years,3-5 years
62588,3-5 years,0-2 years
62589,3-5 years,0-2 years
62593,9-11 years,6-8 years
62595,0-2 years,0-2 years
62607,3-5 years,0-2 years
62611,27-29 years,15-17 years
62648,3-5 years,0-2 years
62658,15-17 years,12-14 years
62659,12-14 years,6-8 years
62674,9-11 years,6-8 years
62691,0-2 years,0-2 years
62703,30 or more years,30 or more years
62739,9-11 years,0-2 years
62749,30 or more years,24-26 years
62758,6-8 years,3-5 years
62764,0-2 years,0-2 years
62779,9-11 years,3-5 years
62808,3-5 years,3-5 years
62819,0-2 years,0-2 years
62856,0-2 years,0-2 years
62880,30 or more years,15-17 years
62883,0-2 years,0-2 years
62886,15-17 years,9-11 years
62895,15-17 years,6-8 years
62899,9-11 years,6-8 years
62908,6-8 years,6-8 years
